,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2018-09-01,WN,WN,WN,5861,WN,N8303R,5861,10792,BUF,"Buffalo, NY",14107,PHX,"Phoenix, AZ",1735,1742.0,7.0,8.0,1750.0,1855.0,5.0,1915,1900.0,-15.0,0.0,,0.0,N,280.0,258.0,245.0,1.0,1912.0,,,,,,,,,
1,2018-09-01,WN,WN,WN,2776,WN,N966WN,2776,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",955,954.0,-1.0,9.0,1003.0,1215.0,5.0,1235,1220.0,-15.0,0.0,,0.0,N,160.0,146.0,132.0,1.0,1053.0,,,,,,,,,
2,2018-09-01,WN,WN,WN,4310,WN,N8701Q,4310,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",1325,1323.0,-2.0,11.0,1334.0,1549.0,5.0,1600,1554.0,-6.0,0.0,,0.0,N,155.0,151.0,135.0,1.0,1053.0,,,,,,,,,
3,2018-09-01,WN,WN,WN,3910,WN,N7831B,3910,10800,BUR,"Burbank, CA",11259,DAL,"Dallas, TX",1330,1329.0,-1.0,7.0,1336.0,1821.0,3.0,1830,1824.0,-6.0,0.0,,0.0,N,180.0,175.0,165.0,1.0,1243.0,,,,,,,,,
4,2018-09-01,WN,WN,WN,2764,WN,N928WN,2764,10800,BUR,"Burbank, CA",11292,DEN,"Denver, CO",1125,1124.0,-1.0,9.0,1133.0,1419.0,3.0,1440,1422.0,-18.0,0.0,,0.0,N,135.0,118.0,106.0,1.0,850.0,,,,,,,,,
5,2018-09-01,WN,WN,WN,3768,WN,N477WN,3768,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1315,1317.0,2.0,9.0,1326.0,1410.0,8.0,1420,1418.0,-2.0,0.0,,0.0,N,65.0,61.0,44.0,1.0,223.0,,,,,,,,,
6,2018-09-01,WN,WN,WN,3783,WN,N202WN,3783,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1845,1838.0,-7.0,12.0,1850.0,1933.0,3.0,1945,1936.0,-9.0,0.0,,0.0,N,60.0,58.0,43.0,1.0,223.0,,,,,,,,,
7,2018-09-01,WN,WN,WN,4085,WN,N564WN,4085,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1105,1101.0,-4.0,13.0,1114.0,1201.0,4.0,1210,1205.0,-5.0,0.0,,0.0,N,65.0,64.0,47.0,1.0,223.0,,,,,,,,,
8,2018-09-01,WN,WN,WN,4332,WN,N291WN,4332,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",745,745.0,0.0,7.0,752.0,835.0,4.0,850,839.0,-11.0,0.0,,0.0,N,65.0,54.0,43.0,1.0,223.0,,,,,,,,,
9,2018-09-01,WN,WN,WN,4793,WN,N222WN,4793,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",945,1059.0,74.0,10.0,1109.0,1154.0,3.0,1050,1157.0,67.0,0.0,,0.0,N,65.0,58.0,45.0,1.0,223.0,0.0,0.0,63.0,0.0,4.0,1002.0,20.0,20.0,
10,2018-09-01,WN,WN,WN,5523,WN,N437WN,5523,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1600,1557.0,-3.0,6.0,1603.0,1645.0,7.0,1705,1652.0,-13.0,0.0,,0.0,N,65.0,55.0,42.0,1.0,223.0,,,,,,,,,
11,2018-09-01,WN,WN,WN,5553,WN,N7722B,5553,10800,BUR,"Burbank, CA",12889,LAS,"Las Vegas, NV",1435,1435.0,0.0,11.0,1446.0,1530.0,5.0,1540,1535.0,-5.0,0.0,,0.0,N,65.0,60.0,44.0,1.0,223.0,,,,,,,,,
12,2018-09-01,WN,WN,WN,2823,WN,N281WN,2823,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",910,917.0,7.0,8.0,925.0,1018.0,13.0,1020,1031.0,11.0,0.0,,0.0,N,70.0,74.0,53.0,1.0,325.0,,,,,,,,,
13,2018-09-01,WN,WN,WN,2852,WN,N938WN,2852,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",815,815.0,0.0,15.0,830.0,924.0,5.0,925,929.0,4.0,0.0,,0.0,N,70.0,74.0,54.0,1.0,325.0,,,,,,,,,
14,2018-09-01,WN,WN,WN,2907,WN,N420WN,2907,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",1825,1822.0,-3.0,9.0,1831.0,1927.0,4.0,1935,1931.0,-4.0,0.0,,0.0,N,70.0,69.0,56.0,1.0,325.0,,,,,,,,,
15,2018-09-01,WN,WN,WN,3064,WN,N943WN,3064,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",1020,1017.0,-3.0,7.0,1024.0,1118.0,8.0,1135,1126.0,-9.0,0.0,,0.0,N,75.0,69.0,54.0,1.0,325.0,,,,,,,,,
16,2018-09-01,WN,WN,WN,3170,WN,N269WN,3170,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",715,714.0,-1.0,7.0,721.0,813.0,17.0,830,830.0,0.0,0.0,,0.0,N,75.0,76.0,52.0,1.0,325.0,,,,,,,,,
17,2018-09-01,WN,WN,WN,4576,WN,N929WN,4576,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",1625,1621.0,-4.0,10.0,1631.0,1722.0,4.0,1740,1726.0,-14.0,0.0,,0.0,N,75.0,65.0,51.0,1.0,325.0,,,,,,,,,
18,2018-09-01,WN,WN,WN,6273,WN,N561WN,6273,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",1405,1411.0,6.0,11.0,1422.0,1516.0,3.0,1515,1519.0,4.0,0.0,,0.0,N,70.0,68.0,54.0,1.0,325.0,,,,,,,,,
19,2018-09-01,WN,WN,WN,6740,WN,N774SW,6740,10800,BUR,"Burbank, CA",13796,OAK,"Oakland, CA",1210,1217.0,7.0,8.0,1225.0,1317.0,4.0,1320,1321.0,1.0,0.0,,0.0,N,70.0,64.0,52.0,1.0,325.0,,,,,,,,,
20,2018-09-01,WN,WN,WN,3022,WN,N7723E,3022,10800,BUR,"Burbank, CA",14057,PDX,"Portland, OR",1050,1053.0,3.0,9.0,1102.0,1300.0,3.0,1310,1303.0,-7.0,0.0,,0.0,N,140.0,130.0,118.0,1.0,817.0,,,,,,,,,
21,2018-09-01,WN,WN,WN,5872,WN,N7701B,5872,10800,BUR,"Burbank, CA",14107,PHX,"Phoenix, AZ",905,904.0,-1.0,14.0,918.0,1022.0,6.0,1030,1028.0,-2.0,0.0,,0.0,N,85.0,84.0,64.0,1.0,369.0,,,,,,,,,
22,2018-09-01,WN,WN,WN,6391,WN,N476WN,6391,10800,BUR,"Burbank, CA",14107,PHX,"Phoenix, AZ",1325,1320.0,-5.0,10.0,1330.0,1429.0,11.0,1450,1440.0,-10.0,0.0,,0.0,N,85.0,80.0,59.0,1.0,369.0,,,,,,,,,
23,2018-09-01,WN,WN,WN,6730,WN,N7844A,6730,10800,BUR,"Burbank, CA",14107,PHX,"Phoenix, AZ",1540,1540.0,0.0,7.0,1547.0,1645.0,5.0,1705,1650.0,-15.0,0.0,,0.0,N,85.0,70.0,58.0,1.0,369.0,,,,,,,,,
24,2018-09-01,WN,WN,WN,3295,WN,N8608N,3295,10800,BUR,"Burbank, CA",14771,SFO,"San Francisco, CA",930,951.0,21.0,16.0,1007.0,1104.0,6.0,1045,1110.0,25.0,0.0,,0.0,N,75.0,79.0,57.0,1.0,326.0,2.0,0.0,4.0,0.0,19.0,,,,
25,2018-09-01,WN,WN,WN,3771,WN,N273WN,3771,10800,BUR,"Burbank, CA",14771,SFO,"San Francisco, CA",1545,1543.0,-2.0,8.0,1551.0,1647.0,5.0,1705,1652.0,-13.0,0.0,,0.0,N,80.0,69.0,56.0,1.0,326.0,,,,,,,,,
26,2018-09-01,WN,WN,WN,2988,WN,N7819A,2988,10800,BUR,"Burbank, CA",14831,SJC,"San Jose, CA",710,711.0,1.0,8.0,719.0,808.0,3.0,820,811.0,-9.0,0.0,,0.0,N,70.0,60.0,49.0,1.0,296.0,,,,,,,,,
27,2018-09-01,WN,WN,WN,4061,WN,N551WN,4061,10800,BUR,"Burbank, CA",14831,SJC,"San Jose, CA",835,956.0,81.0,27.0,1023.0,1113.0,3.0,940,1116.0,96.0,0.0,,0.0,N,65.0,80.0,50.0,1.0,296.0,0.0,0.0,15.0,0.0,81.0,,,,
28,2018-09-01,WN,WN,WN,4088,WN,N564WN,4088,10800,BUR,"Burbank, CA",14831,SJC,"San Jose, CA",1440,1437.0,-3.0,15.0,1452.0,1541.0,6.0,1545,1547.0,2.0,0.0,,0.0,N,65.0,70.0,49.0,1.0,296.0,,,,,,,,,
29,2018-09-01,WN,WN,WN,6889,WN,N737JW,6889,10800,BUR,"Burbank, CA",14831,SJC,"San Jose, CA",1130,1141.0,11.0,7.0,1148.0,1242.0,3.0,1235,1245.0,10.0,0.0,,0.0,N,65.0,64.0,54.0,1.0,296.0,,,,,,,,,
30,2018-09-01,WN,WN,WN,2348,WN,N786SW,2348,10800,BUR,"Burbank, CA",14893,SMF,"Sacramento, CA",950,946.0,-4.0,15.0,1001.0,1102.0,3.0,1105,1105.0,0.0,0.0,,0.0,N,75.0,79.0,61.0,1.0,358.0,,,,,,,,,
31,2018-09-01,WN,WN,WN,2810,WN,N414WN,2810,10800,BUR,"Burbank, CA",14893,SMF,"Sacramento, CA",740,735.0,-5.0,8.0,743.0,841.0,3.0,900,844.0,-16.0,0.0,,0.0,N,80.0,69.0,58.0,1.0,358.0,,,,,,,,,
32,2018-09-01,WN,WN,WN,4117,WN,N474WN,4117,10800,BUR,"Burbank, CA",14893,SMF,"Sacramento, CA",1155,1205.0,10.0,8.0,1213.0,1315.0,2.0,1310,1317.0,7.0,0.0,,0.0,N,75.0,72.0,62.0,1.0,358.0,,,,,,,,,
33,2018-09-01,WN,WN,WN,3355,WN,N7707C,3355,10821,BWI,"Baltimore, MD",10140,ABQ,"Albuquerque, NM",1400,1418.0,18.0,15.0,1433.0,1618.0,4.0,1610,1622.0,12.0,0.0,,0.0,N,250.0,244.0,225.0,1.0,1670.0,,,,,,,,,
34,2018-09-01,WN,WN,WN,3996,WN,N709SW,3996,10821,BWI,"Baltimore, MD",10140,ABQ,"Albuquerque, NM",815,810.0,-5.0,19.0,829.0,1006.0,5.0,1025,1011.0,-14.0,0.0,,0.0,N,250.0,241.0,217.0,1.0,1670.0,,,,,,,,,
35,2018-09-01,WN,WN,WN,1653,WN,N8689C,1653,10821,BWI,"Baltimore, MD",10257,ALB,"Albany, NY",1640,1639.0,-1.0,12.0,1651.0,1742.0,2.0,1755,1744.0,-11.0,0.0,,0.0,N,75.0,65.0,51.0,1.0,289.0,,,,,,,,,
36,2018-09-01,WN,WN,WN,3812,WN,N7834A,3812,10821,BWI,"Baltimore, MD",10257,ALB,"Albany, NY",1105,1100.0,-5.0,10.0,1110.0,1203.0,2.0,1220,1205.0,-15.0,0.0,,0.0,N,75.0,65.0,53.0,1.0,289.0,,,,,,,,,
37,2018-09-01,WN,WN,WN,4176,WN,N438WN,4176,10821,BWI,"Baltimore, MD",10257,ALB,"Albany, NY",1900,1854.0,-6.0,7.0,1901.0,1953.0,2.0,2010,1955.0,-15.0,0.0,,0.0,N,70.0,61.0,52.0,1.0,289.0,,,,,,,,,
38,2018-09-01,WN,WN,WN,6044,WN,N7883A,6044,10821,BWI,"Baltimore, MD",10257,ALB,"Albany, NY",920,935.0,15.0,10.0,945.0,1036.0,3.0,1035,1039.0,4.0,0.0,,0.0,N,75.0,64.0,51.0,1.0,289.0,,,,,,,,,
