fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-01-05,UA,UA_CODESHARE,UA,4170,EV,N14902,4170,11618,EWR,"Newark, NJ",11986,GRR,"Grand Rapids, MI",2010,2007,-3,25,2032,2209,4,2230,2213,-17,0,,0,N,140,126,97,1,605,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4171,EV,N11551,4171,10980,CHA,"Chattanooga, TN",11618,EWR,"Newark, NJ",600,553,-7,15,608,749,12,818,801,-17,0,,0,N,138,128,101,1,718,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4172,EV,N28529,4172,12266,IAH,"Houston, TX",11982,GRK,"Killeen, TX",1435,1423,-12,18,1441,1515,3,1538,1518,-20,0,,0,N,63,55,34,1,166,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4172,EV,N28529,4172,12896,LBB,"Lubbock, TX",12266,IAH,"Houston, TX",1156,1149,-7,6,1155,1312,10,1336,1322,-14,0,,0,N,100,93,77,1,458,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4173,EV,N16981,4173,12266,IAH,"Houston, TX",10781,BTR,"Baton Rouge, LA",1420,1415,-5,16,1431,1513,4,1529,1517,-12,0,,0,N,69,62,42,1,253,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4174,EV,N13989,4174,12266,IAH,"Houston, TX",12992,LIT,"Little Rock, AR",1430,1425,-5,22,1447,1543,8,1603,1551,-12,0,,0,N,93,86,56,1,374,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4180,EV,N14905,4180,10185,AEX,"Alexandria, LA",12266,IAH,"Houston, TX",540,542,2,14,556,631,7,655,638,-17,0,,0,N,75,56,35,1,190,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4181,EV,N16571,4181,15016,STL,"St. Louis, MO",12266,IAH,"Houston, TX",1105,1101,-4,14,1115,1253,9,1326,1302,-24,0,,0,N,141,121,98,1,667,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4182,EV,N14904,4182,12266,IAH,"Houston, TX",14193,PNS,"Pensacola, FL",710,711,1,10,721,833,4,849,837,-12,0,,0,N,99,86,72,1,489,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4186,EV,N14173,4186,13422,MOB,"Mobile, AL",12266,IAH,"Houston, TX",1200,1152,-8,12,1204,1317,6,1340,1323,-17,0,,0,N,100,91,73,1,427,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4187,EV,N12135,4187,13930,ORD,"Chicago, IL",14524,RIC,"Richmond, VA",2055,2151,56,18,2209,30,8,2359,38,39,0,,0,N,124,107,81,1,642,35,0,0,0,4,,,,
2018-01-05,UA,UA_CODESHARE,UA,4189,EV,N14977,4189,12266,IAH,"Houston, TX",12448,JAN,"Jackson/Vicksburg, MS",735,726,-9,13,739,833,3,859,836,-23,0,,0,N,84,70,54,1,351,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4190,EV,N11536,4190,12266,IAH,"Houston, TX",11481,ECP,"Panama City, FL",2010,2004,-6,14,2018,2135,3,2154,2138,-16,0,,0,N,104,94,77,1,572,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4193,EV,N12530,4193,12266,IAH,"Houston, TX",13377,MLU,"Monroe, LA",1425,1421,-4,21,1442,1524,5,1535,1529,-6,0,,0,N,70,68,42,1,262,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4195,EV,N19554,4195,11042,CLE,"Cleveland, OH",11278,DCA,"Washington, DC",1535,1524,-11,13,1537,1627,4,1659,1631,-28,0,,0,N,84,67,50,1,310,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4196,EV,N11107,4196,10868,CAE,"Columbia, SC",12266,IAH,"Houston, TX",630,640,10,25,705,827,5,824,832,8,0,,0,N,174,172,142,1,878,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4197,EV,N11536,4197,12266,IAH,"Houston, TX",13061,LRD,"Laredo, TX",1005,1000,-5,16,1016,1107,4,1133,1111,-22,0,,0,N,88,71,51,1,301,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4197,EV,N14993,4197,14814,SHV,"Shreveport, LA",12266,IAH,"Houston, TX",545,539,-6,18,557,633,9,651,642,-9,0,,0,N,66,63,36,1,192,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4200,EV,N16911,4200,13342,MKE,"Milwaukee, WI",12266,IAH,"Houston, TX",548,538,-10,56,634,857,5,900,902,2,0,,0,N,192,204,143,1,984,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4201,EV,N14188,4201,11618,EWR,"Newark, NJ",14524,RIC,"Richmond, VA",755,806,11,18,824,917,11,938,928,-10,0,,0,N,103,82,53,1,277,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4202,EV,N48901,4202,13930,ORD,"Chicago, IL",13342,MKE,"Milwaukee, WI",857,849,-8,16,905,924,5,949,929,-20,0,,0,N,52,40,19,1,67,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4203,EV,N17984,4203,11721,FNT,"Flint, MI",13930,ORD,"Chicago, IL",601,558,-3,26,624,607,22,618,629,11,0,,0,N,77,91,43,1,223,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4205,EV,N16981,4205,13158,MAF,"Midland/Odessa, TX",12266,IAH,"Houston, TX",1205,1201,-4,9,1210,1322,4,1337,1326,-11,0,,0,N,92,85,72,1,429,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4206,EV,N14904,4206,12266,IAH,"Houston, TX",10868,CAE,"Columbia, SC",1945,1937,-8,12,1949,2241,7,2304,2248,-16,0,,0,N,139,131,112,1,878,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4207,EV,N13992,4207,12266,IAH,"Houston, TX",15412,TYS,"Knoxville, TN",1425,1414,-11,21,1435,1724,4,1735,1728,-7,0,,0,N,130,134,109,1,771,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4208,EV,N14905,4208,12266,IAH,"Houston, TX",13244,MEM,"Memphis, TN",755,748,-7,32,820,930,8,940,938,-2,0,,0,N,105,110,70,1,468,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4210,EV,N12201,4210,12266,IAH,"Houston, TX",13422,MOB,"Mobile, AL",1625,1620,-5,15,1635,1734,5,1755,1739,-16,0,,0,N,90,79,59,1,427,,,,,,,,,
2018-01-05,UA,UA_CODESHARE,UA,4210,EV,N12540,4210,13871,OMA,"Omaha, NE",12266,IAH,"Houston, TX",1250,1239,-11,15,1254,1446,10,1515,1456,-19,0,,0,N,145,137,112,1,781,,,,,,,,,
2018-01-07,WN,WN,WN,3273,WN,N704SW,3273,12391,ISP,"Islip, NY",14027,PBI,"West Palm Beach/Palm Beach, FL",2030,2102,32,10,2112,2355,4,2330,2359,29,0,,0,N,180,177,163,1,1052,0,0,0,0,29,,,,
2018-01-07,WN,WN,WN,4857,WN,N917WN,4857,12391,ISP,"Islip, NY",14027,PBI,"West Palm Beach/Palm Beach, FL",1530,1542,12,8,1550,1823,4,1825,1827,2,0,,0,N,175,165,153,1,1052,,,,,,,,,
2018-01-07,WN,WN,WN,3991,WN,N208WN,3991,12391,ISP,"Islip, NY",15304,TPA,"Tampa, FL",605,712,67,14,726,952,3,910,955,45,0,,0,N,185,163,146,1,1034,0,45,0,0,0,,,,
2018-01-07,WN,WN,WN,3234,WN,N236WN,3234,12451,JAX,"Jacksonville, FL",10397,ATL,"Atlanta, GA",640,642,2,20,702,752,3,755,755,0,0,,0,N,75,73,50,1,270,,,,,,,,,
