,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2018-12-09,AA,AA_CODESHARE,AA,4876,PT,N627AE,4876,10721,BOS,"Boston, MA",13230,MDT,"Harrisburg, PA",1915,1901.0,-14.0,20.0,1921.0,2033.0,6.0,2057,2039.0,-18.0,0.0,,0.0,N,102.0,98.0,72.0,1.0,335.0,,,,,,,,,
1,2018-12-09,AA,AA_CODESHARE,AA,4877,PT,N651AE,4877,13230,MDT,"Harrisburg, PA",14100,PHL,"Philadelphia, PA",1229,1448.0,139.0,14.0,1502.0,1529.0,12.0,1319,1541.0,142.0,0.0,,0.0,N,50.0,53.0,27.0,1.0,84.0,0.0,0.0,3.0,0.0,139.0,,,,
2,2018-12-09,AA,AA_CODESHARE,AA,4877,PT,N651AE,4877,14100,PHL,"Philadelphia, PA",13230,MDT,"Harrisburg, PA",1100,1341.0,161.0,18.0,1359.0,1422.0,4.0,1158,1426.0,148.0,0.0,,0.0,N,58.0,45.0,23.0,1.0,84.0,148.0,0.0,0.0,0.0,0.0,,,,
3,2018-12-09,AA,AA_CODESHARE,AA,4878,PT,N604AE,4878,14100,PHL,"Philadelphia, PA",14524,RIC,"Richmond, VA",1805,,,,,,,1927,,,1.0,B,0.0,N,82.0,,,1.0,198.0,,,,,,,,,
4,2018-12-09,AA,AA_CODESHARE,AA,4879,PT,N634AE,4879,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1535,1521.0,-14.0,17.0,1538.0,1632.0,7.0,1709,1639.0,-30.0,0.0,,0.0,N,94.0,78.0,54.0,1.0,279.0,,,,,,,,,
5,2018-12-09,AA,AA_CODESHARE,AA,4879,PT,N634AE,4879,14100,PHL,"Philadelphia, PA",10792,BUF,"Buffalo, NY",1349,1343.0,-6.0,12.0,1355.0,1447.0,4.0,1506,1451.0,-15.0,0.0,,0.0,N,77.0,68.0,52.0,1.0,279.0,,,,,,,,,
6,2018-12-09,AA,AA_CODESHARE,AA,4880,PT,N609DP,4880,14576,ROC,"Rochester, NY",14100,PHL,"Philadelphia, PA",558,556.0,-2.0,28.0,624.0,718.0,10.0,721,728.0,7.0,0.0,,0.0,N,83.0,92.0,54.0,1.0,257.0,,,,,,,,,
7,2018-12-09,AA,AA_CODESHARE,AA,4881,PT,N906AE,4881,13230,MDT,"Harrisburg, PA",14100,PHL,"Philadelphia, PA",1040,1142.0,62.0,15.0,1157.0,1218.0,10.0,1130,1228.0,58.0,0.0,,0.0,N,50.0,46.0,21.0,1.0,84.0,12.0,0.0,0.0,0.0,46.0,1035.0,19.0,19.0,
8,2018-12-09,AA,AA_CODESHARE,AA,4883,PT,N699AE,4883,13342,MKE,"Milwaukee, WI",14100,PHL,"Philadelphia, PA",1125,1243.0,78.0,11.0,1254.0,1534.0,8.0,1425,1542.0,77.0,0.0,,0.0,N,120.0,119.0,100.0,1.0,690.0,24.0,0.0,0.0,0.0,53.0,,,,
9,2018-12-09,AA,AA_CODESHARE,AA,4883,PT,N699AE,4883,14100,PHL,"Philadelphia, PA",13342,MKE,"Milwaukee, WI",905,1032.0,87.0,24.0,1056.0,1150.0,4.0,1035,1154.0,79.0,0.0,,0.0,N,150.0,142.0,114.0,1.0,690.0,79.0,0.0,0.0,0.0,0.0,,,,
